Transaction_ID,Name,Platform,Publisher,Developer,Genre,Release_Date,Selling_Price,Discount,Region_Sales,Sales_Date,Rating
b4462d66,Counter-Strike,Mobile,Electronic Arts,Ubisoft Montreal,Role Playing,2022-07-17,32.08,34,Asia,2023-05-26,1
dab56581,FIFA,Mobile,Microsoft,Epic Games,Simulation,2020-04-04,53.66,49,America,2021-12-07,5
2947b484,Call of Duty,XBox One,Blizzard Entertainment,Nintendo EAD,First Person Shooter,2020-06-29,22.34,11,America,2020-03-15,4
be826c00,World of Warcraft,PS4,Rockstar Games,Blizzard Entertainment,Sports,2022-12-28,29.14,7,Asia,2019-06-13,4
55bcad73,Minecraft,PS4,Ubisoft,Infinity Ward,Role Playing,2021-02-16,51.76,22,America,2021-12-14,4
f3663728,The Legend of Zelda,Mobile,Nintendo,Rockstar North,Simulation,2020-02-09,53.39,43,America,2022-09-13,4
961bc302,The Legend of Zelda,XBox One,Activision,Nintendo EAD,Role Playing,2022-03-16,57.89,15,Europe,2020-09-06,2
9f7f866f,Grand Theft Auto,Mobile,Electronic Arts,Valve,Sports,2022-02-11,26.53,37,Europe,2021-10-13,9
96f3a15d,World of Warcraft,PS4,Microsoft,Blizzard Entertainment,First Person Shooter,2019-04-02,52.6,11,Europe,2020-08-28,9
4c3aa6e1,FIFA,XBox One,Ubisoft,Infinity Ward,First Person Shooter,2020-11-06,44.38,25,Europe,2023-12-07,4
3fae00d9,Counter-Strike,PC,Electronic Arts,Nintendo EAD,First Person Shooter,2022-09-28,31.21,24,America,2020-07-14,9
46ff8423,World of Warcraft,Nintendo Switch,Valve,Game Freak,Sports,2023-06-02,35.63,38,Europe,2019-08-13,5
63053032,Battlefield,PS5,Epic Games,EA Sports,Simulation,2020-09-11,27.25,13,Europe,2020-03-07,6
196f792e,Pokemon,PS5,Valve,Respawn Entertainment,Role Playing,2022-07-09,50.06,30,Europe,2023-06-14,7
10e278c8,FIFA,Mobile,Ubisoft,Respawn Entertainment,Simulation,2023-08-09,49.19,0,Asia,2023-04-22,2
d42cede3,League of Legends,Nintendo Switch,Valve,Infinity Ward,Simulation,2019-03-17,50.16,25,Asia,2022-06-07,3
f3629952,Overwatch,XBox One,Blizzard Entertainment,Blizzard Entertainment,Simulation,2022-05-05,50.35,14,Europe,2023-01-15,6
c260e04c,Call of Duty,Nintendo Switch,Microsoft,EA Sports,Sports,2020-08-19,27.96,8,America,2019-04-05,8
982733c8,Call of Duty,XBox One,Ubisoft,Ubisoft Montreal,Simulation,2022-01-15,25.34,22,Asia,2020-06-25,9
dd2e63dc,FIFA,Mobile,Electronic Arts,Respawn Entertainment,Role Playing,2021-01-09,59.76,48,Asia,2019-03-11,1
531a4a2d,The Legend of Zelda,Nintendo Switch,Epic Games,Respawn Entertainment,Sports,2021-10-09,44.94,2,Asia,2019-05-16,5
5a806927,The Legend of Zelda,Mobile,Nintendo,EA Sports,Simulation,2019-05-03,29.35,13,Asia,2020-01-05,8
14cf5fff,Pokemon,PS4,Valve,Valve,Sports,2020-10-15,25.45,7,Asia,2020-03-29,4
326926fe,League of Legends,PS4,Activision,Game Freak,Strategy,2020-08-17,25.38,14,America,2019-11-10,8
d9e99e4d,Call of Duty,Nintendo Switch,Microsoft,Rockstar North,Role Playing,2020-05-01,36.05,37,Europe,2021-07-17,2
26576802,Pokemon,PC,Rockstar Games,Epic Games,First Person Shooter,2022-03-02,59.66,10,America,2021-11-01,10
89d9fb0c,The Legend of Zelda,Nintendo Switch,Valve,Infinity Ward,Role Playing,2019-03-29,28.62,32,Europe,2022-05-18,9
d8f991b5,World of Warcraft,PS5,Activision,EA Sports,Sports,2019-06-08,55.11,2,Europe,2021-07-10,6
