SaleID,GameID,PlatformID,Price,DateSold,RegionSalesID,Discounts,Rating
S00001,G45,PL02,32,2018/01/01,3,0.502617782,44
S00002,G24,PL04,35,2018/01/01,1,0.7268606,48
S00003,G15,PL01,38,2018/01/01,1,0.289387351,40
S00004,G33,PL03,51,2018/01/01,2,0.529815235,68
S00005,G01,PL04,54,2018/01/01,3,0.710545256,81
S00006,G31,PL01,27,2018/01/01,2,0.694147465,94
S00007,G02,PL01,48,2018/01/01,2,0.603930192,74
S00008,G24,PL01,10,2018/01/01,1,0.475047385,80
S00009,G12,PL04,75,2018/01/01,3,0.520508774,64
S00010,G28,PL01,15,2018/01/01,3,0.449805906,44
S00011,G13,PL01,49,2018/01/01,1,0.201941377,74
S00012,G30,PL04,47,2018/01/02,3,0.249147221,44
S00013,G28,PL01,15,2018/01/02,1,0.5,83
S00014,G42,PL02,21,2018/01/02,2,0.684082264,33
S00015,G47,PL04,47,2018/01/02,2,0.543678014,37
S00016,G45,PL01,22,2018/01/02,2,0.407088822,47
S00017,G45,PL02,32,2018/01/02,2,0.528146648,74
S00018,G28,PL04,40,2018/01/02,3,0.615561494,82
S00019,G40,PL04,61,2018/01/03,1,0.264606917,98
S00020,G01,PL02,39,2018/01/03,1,0.659653504,71
S00021,G43,PL04,47,2018/01/03,3,0.664599913,40
S00022,G41,PL04,74,2018/01/03,3,0.457750253,67
S00023,G39,PL01,21,2018/01/03,3,0.436105131,35
S00024,G43,PL04,47,2018/01/03,2,0.208488648,78
S00025,G17,PL01,27,2018/01/03,3,0.275635256,38
S00026,G09,PL01,37,2018/01/03,1,0.540829202,38
S00027,G19,PL04,74,2018/01/04,3,0.674360847,89
S00028,G35,PL02,29,2018/01/04,1,0.635783471,86
S00029,G39,PL04,46,2018/01/04,1,0.49,71
S00030,G39,PL03,33,2018/01/04,2,0.299001808,62
S00031,G40,PL01,36,2018/01/04,2,0.672185826,81
S00032,G02,PL03,60,2018/01/04,1,0.625143018,96
S00033,G13,PL01,49,2018/01/04,1,0.259382438,71
S00034,G47,PL01,22,2018/01/04,1,0.461767484,85
S00035,G09,PL04,62,2018/01/05,2,0.294660555,83
S00036,G45,PL04,47,2018/01/05,2,0.397059145,72
S00037,G42,PL01,11,2018/01/05,3,0.505757906,45
S00038,G37,PL04,35,2018/01/05,3,0.270389663,70
S00039,G27,PL03,24,2018/01/05,2,0.388444434,84
S00040,G26,PL04,38,2018/01/05,1,0.260593592,56
S00041,G32,PL03,51,2018/01/06,3,0.580342281,100
S00042,G23,PL04,78,2018/01/06,3,0.449382014,53
S00043,G11,PL03,69,2018/01/06,3,0.478608214,43
S00044,G28,PL01,15,2018/01/06,2,0.285293556,72
S00045,G13,PL01,49,2018/01/07,2,0.515772976,60
